Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,23,TOR,49,11,21.1,3.4,7.2,0.474,0.5,1.9,0.253,2.9,5.3,0.552,0.507,1.7,2.4,0.686,1.8,4.1,5.9,1,0.6,0.6,1.1,1.9,8.9
2,Steven Adams,C,29,MEM,42,42,27,3.7,6.3,0.597,0,0,0,3.7,6.2,0.599,0.597,1.1,3.1,0.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6
3,Bam Adebayo,C,25,MIA,72,72,35.2,8.2,15.1,0.539,0,0.2,0.083,8.1,15,0.544,0.539,4.4,5.5,0.803,2.4,6.9,9.3,3.3,1.2,0.8,2.6,2.8,20.7
4,Ochai Agbaji,SG,22,UTA,53,16,19.2,2.4,5.5,0.441,1.3,3.5,0.378,1.1,2,0.552,0.562,0.7,1,0.765,0.7,1.2,1.9,0.9,0.3,0.2,0.6,1.6,6.9
5,Santi Aldama,PF,22,MEM,73,19,22.2,3.3,6.9,0.474,1.3,3.5,0.357,2,3.3,0.598,0.566,1.4,1.9,0.745,1.1,3.7,4.8,1.2,0.6,0.6,0.8,1.9,9.2
6,Nickeil Alexander-Walker,SG,24,TOT,54,3,15.3,2.2,5.1,0.442,1,2.7,0.379,1.2,2.4,0.512,0.542,0.7,1.1,0.667,0.3,1.5,1.8,1.9,0.6,0.4,1,1.5,6.2
6,Nickeil Alexander-Walker,SG,24,UTA,36,3,14.7,2.3,4.7,0.488,1,2.4,0.402,1.3,2.3,0.578,0.591,0.8,1.1,0.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3
6,Nickeil Alexander-Walker,SG,24,MIN,18,0,16.6,2.1,5.8,0.365,1.1,3.2,0.345,1,2.6,0.391,0.462,0.6,1,0.611,0.3,1.8,2.1,1.4,0.3,0.3,0.4,1.4,5.9
7,Grayson Allen,SG,27,MIL,70,68,27.6,3.5,7.9,0.442,2.1,5.2,0.402,1.4,2.7,0.519,0.574,1.6,1.8,0.905,0.9,2.4,3.3,2.3,0.9,0.2,1,1.7,10.6
8,Jarrett Allen,C,24,CLE,65,65,33,6,9.3,0.645,0,0.1,0.111,6,9.1,0.653,0.646,2.4,3.3,0.74,3.3,6.7,9.9,1.7,0.8,1.2,1.4,2.3,14.4
