Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Anthony Davis,31,LAL,PF,4,4,148,44,80,0.55,2,7,0.286,42,73,0.575,0.563,41,51,0.804,12,36,48,13,6,10,7,5,131,,davisan02
2,Nikola Jokić,29,DEN,C,4,4,156,47,82,0.573,11,20,0.55,36,62,0.581,0.64,21,27,0.778,16,33,49,37,5,5,12,10,126,,jokicni01
3,Anthony Edwards,23,MIN,SG,4,4,157,41,90,0.456,22,53,0.415,19,37,0.514,0.578,16,25,0.64,1,24,25,14,2,2,16,11,120,,edwaran01
4,Cam Thomas,23,BRK,SG,4,4,142,39,87,0.448,13,34,0.382,26,53,0.491,0.523,27,29,0.931,4,15,19,11,5,0,9,11,118,,thomaca02
5,Kevin Durant,36,PHO,SF,4,4,160,40,75,0.533,10,22,0.455,30,53,0.566,0.6,26,32,0.813,0,28,28,12,4,7,13,9,116,,duranke01
6,Giannis Antetokounmpo,30,MIL,PF,4,4,139,44,71,0.62,0,3,0,44,68,0.647,0.62,27,49,0.551,4,43,47,25,1,2,17,12,115,,antetgi01
7,Jalen Green,22,HOU,SG,4,4,138,38,88,0.432,19,46,0.413,19,42,0.452,0.54,20,24,0.833,3,12,15,11,3,1,8,6,115,,greenja05
8,Paolo Banchero,22,ORL,SF,4,4,145,36,75,0.48,9,23,0.391,27,52,0.519,0.54,33,52,0.635,12,25,37,24,3,4,7,11,114,,banchpa01
9,Jayson Tatum,26,BOS,SF,4,4,134,41,80,0.513,18,43,0.419,23,37,0.622,0.625,14,20,0.7,3,24,27,22,6,3,6,12,114,,tatumja01
10,Damian Lillard,34,MIL,PG,4,4,142,32,68,0.471,12,39,0.308,20,29,0.69,0.559,36,39,0.923,5,19,24,25,2,1,13,6,112,,lillada01
11,Luka Dončić,25,DAL,PG,4,4,149,36,99,0.364,11,41,0.268,25,58,0.431,0.419,24,30,0.8,3,34,37,28,4,3,11,14,107,,doncilu01
12,Cade Cunningham,23,DET,PG,4,4,147,42,87,0.483,10,27,0.37,32,60,0.533,0.54,12,15,0.8,3,20,23,30,4,5,23,12,106,,cunnica01
13,Trae Young,26,ATL,PG,4,4,151,27,69,0.391,11,37,0.297,16,32,0.5,0.471,41,46,0.891,4,18,22,43,6,2,26,8,106,,youngtr01
14,Jaylen Brown,28,BOS,SF,4,4,136,33,81,0.407,11,28,0.393,22,53,0.415,0.475,27,33,0.818,7,24,31,13,6,0,9,8,104,,brownja02
15,Zach LaVine,29,CHI,SG,4,4,139,37,67,0.552,16,35,0.457,21,32,0.656,0.672,14,17,0.824,2,20,22,11,3,3,16,5,104,,lavinza01
16,Brandon Ingram,27,NOP,SF,4,4,130,40,77,0.519,10,23,0.435,30,54,0.556,0.584,8,9,0.889,6,21,27,14,4,2,10,11,98,,ingrabr01
17,Domantas Sabonis,28,SAC,C,4,4,145,36,53,0.679,6,11,0.545,30,42,0.714,0.736,19,25,0.76,9,35,44,22,3,2,12,14,97,,sabondo01
18,LaMelo Ball,23,CHO,PG,3,3,103,29,62,0.468,15,36,0.417,14,26,0.538,0.589,22,24,0.917,4,17,21,22,3,2,17,14,95,,ballla01
19,Kyrie Irving,32,DAL,PG,4,4,141,36,76,0.474,14,26,0.538,22,50,0.44,0.566,9,11,0.818,5,10,15,21,7,2,6,10,95,,irvinky01
20,Donovan Mitchell,28,CLE,SG,4,4,120,35,70,0.5,12,32,0.375,23,38,0.605,0.586,13,18,0.722,2,8,10,18,7,1,13,9,95,,mitchdo01
21,Tyrese Maxey,24,PHI,PG,3,3,128,30,86,0.349,9,38,0.237,21,48,0.438,0.401,25,31,0.806,0,12,12,11,3,3,7,9,94,,maxeyty01
22,Julius Randle,30,MIN,PF,4,4,140,34,56,0.607,10,16,0.625,24,40,0.6,0.696,15,21,0.714,8,22,30,20,2,0,12,12,93,,randlju01
23,Devin Booker,28,PHO,SG,4,4,144,29,65,0.446,13,31,0.419,16,34,0.471,0.546,21,24,0.875,3,8,11,17,4,2,9,13,92,,bookede01
24,DeMar DeRozan,35,SAC,SG,4,4,148,32,58,0.552,2,7,0.286,30,51,0.588,0.569,26,31,0.839,3,13,16,16,8,1,6,4,92,,derozde01
25,Dennis Schröder,31,BRK,PG,4,4,143,30,61,0.492,15,29,0.517,15,32,0.469,0.615,15,18,0.833,0,8,8,33,3,0,12,15,90,,schrode01
26,De'Aaron Fox,27,SAC,PG,4,4,144,32,69,0.464,7,24,0.292,25,45,0.556,0.514,15,16,0.938,3,15,18,30,6,0,14,13,86,,foxde01
27,Shai Gilgeous-Alexander,26,OKC,SG,3,3,102,31,69,0.449,7,23,0.304,24,46,0.522,0.5,17,19,0.895,6,20,26,19,9,6,4,6,86,,gilgesh01
28,Jerami Grant,30,POR,PF,4,4,131,29,70,0.414,13,35,0.371,16,35,0.457,0.507,14,18,0.778,1,20,21,8,5,9,10,10,85,,grantje01
29,Buddy Hield,32,GSW,SG,4,1,91,30,58,0.517,20,36,0.556,10,22,0.455,0.69,5,5,1,2,14,16,10,4,1,5,8,85,,hieldbu01
30,Desmond Bane,26,MEM,SG,4,4,116,32,65,0.492,12,30,0.4,20,35,0.571,0.585,8,9,0.889,4,17,21,14,5,3,7,14,84,,banede01
31,Jaden Ivey,22,DET,SG,4,4,131,29,63,0.46,9,21,0.429,20,42,0.476,0.532,16,22,0.727,8,11,19,15,4,0,8,11,83,,iveyja01
32,Nikola Vučević,34,CHI,C,4,4,130,31,60,0.517,11,21,0.524,20,39,0.513,0.608,10,11,0.909,9,32,41,12,0,2,6,12,83,,vucevni01
33,Franz Wagner,23,ORL,SF,4,4,107,30,56,0.536,11,25,0.44,19,31,0.613,0.634,11,12,0.917,4,14,18,13,6,1,9,8,82,,wagnefr01
34,LeBron James,40,LAL,SF,4,4,139,29,65,0.446,9,23,0.391,20,42,0.476,0.515,13,19,0.684,0,28,28,30,1,3,11,8,80,,jamesle01
35,Anfernee Simons,25,POR,SG,4,4,133,23,61,0.377,10,33,0.303,13,28,0.464,0.459,22,24,0.917,0,6,6,19,4,0,15,7,78,,simonan01
36,Scottie Barnes,23,TOR,SF,4,4,134,29,63,0.46,2,11,0.182,27,52,0.519,0.476,17,23,0.739,10,21,31,24,8,2,16,12,77,,barnesc01
37,Darius Garland,25,CLE,PG,4,4,112,29,53,0.547,13,26,0.5,16,27,0.593,0.67,6,6,1,1,7,8,20,5,2,12,13,77,,garlada01
38,Austin Reaves,26,LAL,SG,4,4,144,29,53,0.547,12,25,0.48,17,28,0.607,0.66,7,10,0.7,8,20,28,21,6,2,11,14,77,,reaveau01
39,James Harden,35,LAC,SG,3,3,113,21,58,0.362,5,26,0.192,16,32,0.5,0.405,28,31,0.903,4,21,25,35,2,1,20,9,75,,hardeja01
40,CJ McCollum,33,NOP,SG,4,4,137,29,65,0.446,13,34,0.382,16,31,0.516,0.546,4,6,0.667,1,13,14,16,9,4,8,6,75,,mccolcj01
41,Jamal Murray,27,DEN,PG,4,4,152,25,66,0.379,7,20,0.35,18,46,0.391,0.432,18,20,0.9,3,17,20,19,5,0,6,8,75,,murraja01
42,Norman Powell,31,LAC,SG,3,3,101,27,52,0.519,10,25,0.4,17,27,0.63,0.615,10,12,0.833,2,6,8,4,1,2,4,5,74,,powelno01
43,Pascal Siakam,30,IND,PF,4,4,129,30,55,0.545,5,16,0.313,25,39,0.641,0.591,9,12,0.75,7,20,27,21,4,1,5,8,74,,siakapa01
44,Coby White,24,CHI,PG,4,4,131,25,60,0.417,12,37,0.324,13,23,0.565,0.517,12,15,0.8,1,19,20,19,6,1,10,7,74,,whiteco01
45,Derrick White,30,BOS,SG,4,4,129,25,51,0.49,13,33,0.394,12,18,0.667,0.618,10,11,0.909,3,13,16,19,3,4,2,6,73,,whitede01
46,Lauri Markkanen,27,UTA,PF,4,4,114,20,52,0.385,9,20,0.45,11,32,0.344,0.471,23,27,0.852,8,21,29,7,1,0,7,4,72,,markkla01
47,Chet Holmgren,22,OKC,PF,3,3,98,27,48,0.563,3,15,0.2,24,33,0.727,0.594,14,21,0.667,9,30,39,9,4,12,7,6,71,,holmgch01
