id,name,artists,year,popularity
0dfdXhBg11XA16XgAEtFcN,Song to Woody,Bob Dylan,1962,46
3yFRbFaSj8MeNuYaN21HIu,House of the Risin' Sun,Bob Dylan,1962,46
3SF5puV5eb6bgRSxBeMOk9,Man of Constant Sorrow,Bob Dylan,1962,37
1EDjgsFptABkWWjdEbCjwJ,"Baby, Let Me Follow You Down",Bob Dylan,1962,35
0udZHhCi7p1YzMlvI4fXoK,In My Time of Dyin',Bob Dylan,1962,35
1X6dRpq3Wi6Jxthi8ZBBBz,Talkin' New York,Bob Dylan,1962,34
6ixNehh9DrMM9vYhN93foh,You're No Good,Bob Dylan,1962,34
7CviZOg1GotsImZjY4nrET,See That My Grave Is Kept Clean,Bob Dylan,1962,33
2AyqRzXZ6ZmHcfZ1Mu4Vsj,Fixin' to Die,Bob Dylan,1962,32
6wrEYf9IyrjaLccRBhrsCO,Highway 51 Blues,Bob Dylan,1962,31
4aFM4HgUGRM1cB75qbh2Su,Pretty Peggy-O,Bob Dylan,1962,30
1v4EF7zZLvC8XkcEncOTue,Freight Train Blues,Bob Dylan,1962,30
3qjiLjxJ4AZvLOtiE8znrD,Gospel Plow,Bob Dylan,1962,29
18GiV1BaXzPVYpp9rmOg0E,Blowin' in the Wind,Bob Dylan,1963,71
2WOjLF83vqjit2Zh4B69V3,"Don't Think Twice, It's All Right",Bob Dylan,1963,67
7ny2ATvjtKszCpLpfsGnVQ,A Hard Rain's A-Gonna Fall,Bob Dylan,1963,56
739sLmfUkVFoyPtb0C3263,Girl from the North Country,Bob Dylan,1963,52
7xVpkVkd1klTzLJEysIR7z,Masters of War,Bob Dylan,1963,52
7Ay1lHxhuM33NoXKsS0iom,Oxford Town,Bob Dylan,1963,46
1L4RtuEiAiwdX5taX4meLI,"Corrina, Corrina",Bob Dylan,1963,44
4MNxOR2Fu4NqJ892UdYx0h,Bob Dylan's Dream,Bob Dylan,1963,43
7fzLfsWsXVvStzsk9yRfbG,Down the Highway,Bob Dylan,1963,42
1xa66kvw6zwboiW7c8W9t8,Bob Dylan's Blues,Bob Dylan,1963,41
0ePDsEDDIPZNpbwRUEXKoX,Talkin' World War III Blues,Bob Dylan,1963,41
0D7qLnnev1iKpH5RNT7YsD,I Shall Be Free,Bob Dylan,1963,41
71XTdtW3bvmIrotG8yYVMS,"Honey, Just Allow Me One More Chance",Bob Dylan,1963,39
1albHYDB48jL8MuV75ffPA,Tomorrow Is a Long Time - Witmark Demo - 1962,Bob Dylan,1963,39
4IBqtixfYBrw4woH1ssYxA,Farewell - Witmark Demo - 1963,Bob Dylan,1963,32
6qMUnzlt6ELNmYqbxXtEpP,"Don't Think Twice, It's All Right - Witmark Demo - 1963",Bob Dylan,1963,31
45xWBubNgQp0IIaiQAlt1I,Blowin' In the Wind - Witmark Demo - 1962,Bob Dylan,1963,29
1Vzgr8q0YRNpj5bk89YB6y,The Death of Emmett Till - Witmark Demo - 1962,Bob Dylan,1963,25
52vA3CYKZqZVdQnzRrdZt6,The Times They Are A-Changin',Bob Dylan,1964,70
5nbNWAfT1S6V1vqj3snHxS,It Ain't Me Babe,Bob Dylan,1964,53
6QHYEZlm9wyfXfEM1vSu1P,Boots of Spanish Leather,Bob Dylan,1964,51
3Si9u9FVlUTcUXVcawnstJ,Ballad of Hollis Brown,Bob Dylan,1964,45
5ATUmaVJWUTTagmPwQLck3,One Too Many Mornings,Bob Dylan,1964,43
5zOiSgAZJhikocvA3KdSpX,Chimes of Freedom,Bob Dylan,1964,42
5hBOEqqkcQaUgkRhh6EyX4,With God on Our Side,Bob Dylan,1964,41
6j1fiAG1NFBqPDRfJY19Yv,The Lonesome Death of Hattie Carroll,Bob Dylan,1964,40
7hMhO4oenpVkVaM5bNkEbz,When the Ship Comes In,Bob Dylan,1964,40
2bCFKT7w3wwGfCV3cjrjqi,My Back Pages,Bob Dylan,1964,39
