id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min
0dfdXhBg11XA16XgAEtFcN,0.53,0.257,9,-13.968,0.0332,0.9129999999999999,0.0299,0.11,0.499,95.538,2.67
3yFRbFaSj8MeNuYaN21HIu,0.528,0.317,9,-10.133,0.0285,0.865,0.00215,0.102,0.27699999999999997,96.446,5.3
3SF5puV5eb6bgRSxBeMOk9,0.377,0.397,7,-8.427,0.0312,0.8170000000000001,0.0496,0.187,0.462,108.59100000000001,3.12
1EDjgsFptABkWWjdEbCjwJ,0.519,0.513,9,-6.495,0.0328,0.785,0.0039,0.1,0.634,133.622,2.58
0udZHhCi7p1YzMlvI4fXoK,0.593,0.364,11,-8.346,0.0388,0.852,8.64e-06,0.14800000000000002,0.38799999999999996,125.854,2.65
1X6dRpq3Wi6Jxthi8ZBBBz,0.52,0.44299999999999995,7,-7.755,0.0399,0.8109999999999999,0.0010400000000000001,0.0489,0.7659999999999999,123.9,3.29
6ixNehh9DrMM9vYhN93foh,0.563,0.679,0,-6.191,0.0441,0.825,0.0,0.336,0.76,123.38,1.63
7CviZOg1GotsImZjY4nrET,0.639,0.237,7,-11.157,0.0473,0.855,2.05e-06,0.0617,0.6759999999999999,107.67,2.73
2AyqRzXZ6ZmHcfZ1Mu4Vsj,0.6,0.348,9,-9.66,0.036000000000000004,0.8170000000000001,5.379999999999999e-05,0.11,0.655,127.07799999999999,2.33
6wrEYf9IyrjaLccRBhrsCO,0.634,0.505,4,-9.703,0.0471,0.841,0.00554,0.0887,0.62,132.52100000000002,2.84
4aFM4HgUGRM1cB75qbh2Su,0.44799999999999995,0.732,7,-6.346,0.0366,0.765,0.00047400000000000003,0.0799,0.741,125.845,3.36
1v4EF7zZLvC8XkcEncOTue,0.455,0.6759999999999999,0,-6.5329999999999995,0.0365,0.835,0.0005099999999999999,0.322,0.517,132.422,2.28
3qjiLjxJ4AZvLOtiE8znrD,0.563,0.7959999999999999,2,-6.2170000000000005,0.0451,0.802,0.00234,0.239,0.968,137.967,1.75
18GiV1BaXzPVYpp9rmOg0E,0.38,0.0993,2,-20.566999999999997,0.0509,0.914,2.3199999999999998e-05,0.0605,0.44,174.87400000000002,2.76
2WOjLF83vqjit2Zh4B69V3,0.6,0.243,4,-17.085,0.0366,0.89,0.0022,0.249,0.46799999999999997,110.535,3.62
7ny2ATvjtKszCpLpfsGnVQ,0.5670000000000001,0.198,4,-18.680999999999997,0.0327,0.919,0.0008710000000000001,0.135,0.321,92.46700000000001,6.87
739sLmfUkVFoyPtb0C3263,0.5379999999999999,0.115,10,-19.535999999999998,0.0335,0.883,8.420000000000001e-05,0.113,0.312,102.296,3.33
7xVpkVkd1klTzLJEysIR7z,0.556,0.273,5,-15.972999999999999,0.0372,0.613,3.27e-06,0.188,0.6920000000000001,166.06400000000002,4.52
7Ay1lHxhuM33NoXKsS0iom,0.6579999999999999,0.218,8,-17.302,0.0377,0.8759999999999999,0.0018800000000000002,0.16,0.632,106.73,1.79
1L4RtuEiAiwdX5taX4meLI,0.667,0.209,5,-16.915,0.0358,0.847,0.006959999999999999,0.0773,0.685,95.311,2.69
4MNxOR2Fu4NqJ892UdYx0h,0.48,0.247,7,-15.929,0.0311,0.747,2.86e-06,0.0745,0.42200000000000004,109.646,5.0
7fzLfsWsXVvStzsk9yRfbG,0.473,0.138,7,-21.116,0.0706,0.66,6.4e-06,0.105,0.41600000000000004,137.679,3.41
