learn,fun,expectations
How to code and use that to analyze large amounts of data. Using that creating questions and coming up with testable hypotheses ,"Make music, playing the drums or mixing music",To be understandable and kind
"I would like to expand my skills in R and be able to process large datasets, so I can utilize these skills in a faculty research lab I am currently a part of. I am also hoping to use these skills in Medical School in the future!","I love to kayak, travel, and explore new Austin attractions with my friends!",I hope that the material is taught at a level that someone without complete proficiency in R can learn and understand!
"Study skills, analysis, using R ",Play music ,Explain whats required from me to make a good grade and learn efficiently
"I am eager to learn about Data Science as a subject and what it means to be a Data Engineer. As a CS major, this subject wasn't touched on as much, so I am eager to broaden my skills by learning about everything Data Science. Hence, that includes it all: content, tools, skills, and more.","I love to work out, and I love to try new, delicious food with close friends.","My main expectation is to genuinely learn Data Science with your guidance, and I hope to contribute to a supportive and engaging learning environment."
more r programming,i love to play basketball,good information and communication 
Coding skills,Body building,None
How to get better at R,I love playing and watching sports,I hope the projects are well explained
Excited about learning what data science is all about!,Dance!,"Since I’m new to coding, I’m hoping for a medium paced class when it comes to coding. "
A new programming language in R and experience with using/analyzing data.,Draw,Probably following the schedule as much as possible.
more R,Read,good lectures
I want to learn more about R and its uses in the real world. I would also like to learn more about data science in general because I don't have much knowledge on the subject.,"I like to play all types of sports for fun. I also like puzzle games, such as Wordle or The Mini from the New York Times games.",My expectations from the instructor are to be communicative and fair
When and how to use R as a language.,"Cycling, bouldering",Effective communication and meaningful assignments.
Data scrubbing and refining,cooking different cuisines,"To provide sufficient instruction and opportunity to complete the course objectives of developing Python skills and efficiently storing, converting, and interpreting/analyzing data."
To strengthen my skills with visualization and exploratory data analysis. I already took predictive analytics but felt that I could get more practice with apply the skills to real world problems rather than the hand holdy projects I had before. ,Rock climb. I also have a blog post I'm writing which uses some data science. ,To engage active learning of data science. 
Python in data analysis.,"Music, DJ, ",
I have done a lot of qualitative research in the past and gained satisfaction when I was able to identify a pattern in my data through affinity diagramming. I love using data to solve a complex problem in society. I am curious about data science since it would allow me to conduct quantitative research which adds a whole new perspective that I am not familiar with. I would like to gain the skills to leverage data science to solve research questions.  ,I love watching sitcoms! (Brooklyn nine-nine is my favorite),This is my first data science class. I would love it if the professor is supportive and slows down/explains concepts clearly whenever I am feeling stuck. 
I want to learn about data visualization and asking questions.,I like to karaoke.,"Communicates expectations, responsive, encouraging"
I want to learn coding and analytical skills that I can apply to future research endeavors. ,I like to paint and draw.,My expectations are to have clear instructions that guide me as I learn how to use coding languages.
I want to learn how to use R to analyze data. ,I like to listen to music and take walks. ,I hope the instructor goes at a pace that feels comfortable to everyone. 
I want to learn the content as well as the skills associated with the content like R and Python program as well as data assessment.,I like watching sports as well as playing them with my friends for fun.,I would really appreciate accessibility for communication in the case of any questions.
I want to get a deeper understanding of data science and use computational tools like R to do detailed analysis. ,I like to play the guitar,"2 things: clear expectations, and provide us with the tools we need to do well in the course. "
Data visualization,Dongeons and Dragons,"I expect for this class to be similar, but not exactly, like classes ive taken for econometics."
"Stats for work, besides that find a practical use for my python skills","Drawing, coding, gaming, watching anime",To be rather on the concise side with lectures and allow much time for discussion and practice 
Applied statistics because I just took Engineering Stats and the content may be aligned. I also haven't taken a coding class in over a year so I am looking to refresh my skills.,"Hosting events in the Austin area, running, working out!","Expect an engaging semester full of information, I have never learned R so that will be interesting. I hope I can effectively and efficiently communicate with Professor Chen."
I want to be able to work and model data. ,piano and read,engaged and willing to help
How to code data display and processing is first on my list!,Play basketball with friends,Expectations of what we should be able to know/do are clearly communicated
I would like to further my skills as a data scientist in order to start my career after graduation.,I love to go fishing and be outside.,Just to clearly state the expectations from us and to be consistent.
I'm taking this class to satisfy the Statistics and Data Science minor. I have working experience as a data analyst.,"I manage a server in my closet, a bare metal hypervisor running proxmox, with 12 vms doing various things.",Curious to talk about pursuing a masters.
I want to learn a bit more about R and Python in the context of data science.,Read,I expect to learn what's stated in the syllabus.
I just wish to learn enough general data knowledge and general structural programming skills to apply it in my own personal projects.,"I enjoy working out, playing video games, and hanging out with friends and family.","Just to be engaging, somewhat relatable, and explain the concepts clearly"
I want to learn skills that can help me be a better coder/programmer.,Spending time with family and friends,An instructor who can show me new ways code.
Learn about statistics and how to use programs offered by the course.,"Soccer, League.",I have a great expectations for the instructor.
how to use some new R packages,play pickleball,giving me guidance on projects
I would love to refine and practice coding in RStudio.,I enjoy hiking and traveling!,"I believe she will have clear expectations for what she wants from her students, and she seems understanding and available if needed for help with the material."
Improve my skills with R and learn more about data science,I like to go fishing and play video games for fun,To be able to convey complex topics in a way that is easy to understand
Learning the skills to interpret and use data in real world situations,Play video games ,Teach well I suppose
Core concepts of data science and practical skills,Tennis,Clear and fair instructions
I have a small understanding of R studio and I would like to learn how to use it better ,I like doing escape rooms! ,Gain a deeper understanding of R studio
Analyzing data to make the best fit based on the desired statistics ,Play Basketball,To teach me stuff 
More about R and Python.,Art and dance.,That there will be a lot of help and learning taking place
Being able to handle and interpret large chunks of numerical data efficiently.,"Watch movies and sports (football and hockey, primarily).","To lay the foundation for what data science is and its importance. Also, to provide us with the required materials to be successful when it comes to becoming proficient in R."
I'm eager to explore how data science influences daily life and how it can be applied to my future career.,i like to go to the gym and hangout with friends,"I prefer an instructor who is interactive and can present information in a clear and engaging way, making it easy for the class to understand and retain."
A general understanding of programming.,"I like to swim with my little brother, read, and hang out with my team.",To make the requirements of the class clear.
"I'm interested in pursuing research in the future, and statistics and data science are core parts of that. I want to learn how to properly analyze data and apply to a research problem and overall gain a deeper understanding of statistics and numbers.","I'm in Texas Taekwondo, a martial arts sports club here at UT! I love going to practice to kick and punch all my stress out along with my friends.",Helping me understand how to code and apply statistics and data science to life in a reliable and effective way
Learning how to use r well. ,Play basketball,To give clear instructions and guide us to getting a good grade as long as we put in the work. 
"Machine Learning skills, data wrangling skills. Python.",Cook new dishes,"Communicate expectations clearly, provide guidance for projects"
The basics of what data science is and the different ways in which it can be applied ,sew!,structured lectures
Basic python,Basketball,I expect some overall help to the class as it is most people's first time in a CS class and will be difficult to help everyone individually.
How to use R and analyze data for economic information,Rock climbing and volleyball,Understanding and communicative
"I would like to usefully utilize a dataset to produce relevant and beneficial information. In a much broader sense, I would like to use the skill of dynamic, innovative, and flexible thinking we develop in this statistics course and apply this mindset to foster a growth and forward thinking outlook inside as well as out of the classroom. Data analysis is a heavily prevalent tool in the modern world, with the plethora of information circulating, thus knowing how to properly handle such data and manipulate/model the findings to produce valuable results is a necessary asset. ","I'm a huge foodie! My favorite hobby that I have been developing, especially this summer, is to try our various cuisines in restaurants and try to recreate certain specific dishes at home. This way I get to explore various cultures, dabble in diverse food groups, and attempt to hone my nonexistent cooking skills all at once.  ","I hope the instructor is willing to be patient with students, put their best foot forward to encourage comprehension of the course material, as well as cultivate a positive atmosphere and safe space for learning. "
I wanted to learn more about Rstudio coding.,I like to hang out with my friends.,To give clear explanations and descriptions about the class content and assignments.
"I am just generally interested in statistics, and I want to pursue a minor in it. This class seemed like a good introduction to it. ","I enjoy playing soccer, crocheting, and playing video games. ",I expect understanding for extenuated circumstances and to be responsive to requests for help.
Understanding how to use R,Drawing and listening to music ,To be able to help students if they have an issue with the material from the class
Juse better proficiency in R?,Swim?,Not sure 
I want to learn to code in R. ,I like to play guitar.,I don't really have any expectations coming into this class. I'm just excited to learn more about statistics and data science!
I would like to become more familiar with Data analysis. ,Listen to music/go to concerts. Hang out with friends,To be understanding 
I want to learn patience in coding and how the results are worthwhile to get to.,"I like to explore Austin for fun, I hope to do a lot more outdoor activities this year.",My expectations for the professor are to be clear in her lectures and to be patients with us who struggle with code.
I would love to learn more about Python and just Data Science in general.,Go on drives.,To thoroughly explain through difficult concepts.
I want to learn how to read and use datasets,I play for the UT Men's Club Volleyball team.,I expect an instructor who can foster a inclusive environment that allows a group of diverse students to work together.
Data analysis and visualization ,Handcrafts and playing video games,
I want to learn more about some of the nuances of data sciences and I am exited to learn about R.,I like to play sports and video games.,I’m not sure what to expect from the course in all honesty.
I would like to know how to program and get introduced to how data science works and applies to the real world.,Watching movies/TV,"Clear instruction, additional help, office hours, understandable assignments."
I would love to sharpen my programming skills and use of R in analyzing and visualizing data for research purposes. Learning more analytical techniques beyond the basics is also among my desires. ,I love to read. ,I expect the instructor to offer specialized knowledge and insight regarding course content and to facilitate student learning and engagement. 
I want to learn a solid foundation of data science so that I may take future courses which will build upon that and prepare me for a career in that field after graduation.,"I enjoy listening to music, reading (particularly science fiction/fantasy novels), and watching TV, among others such as spending time with family and friends.","My expectations from the instructor are that she delivers lectures on the course content in a concise, understandable manner and is open to answering questions in addition to possibly redelivering the content explanation in a different way if necessary. "
I want to learn more about programming in R and Python. ,I like to solve Rubik's cubes. ,My expectations include that the instructor is engaging during lecture and is available when we need help. 
I want to learn how to do my own data science project.,I like to play volleyball,"Interesting lectures, willing to help"
How to use R. I want to learn how to work with data.,"Swimming, reading, stay with my friends.",I want my professors to give hard-working students the opportunity to succeed; this has been a very challenging semester for me and I really want to get good grades.
I want to be able to apply data science to real world applications and learn how to utilize data science to my advantage in a hirable way.,I like to run and do pilates.,To be understanding with students and care about the students and their success.
I want to learn how to better analyze data to build a story. I also want to hone my skills in communicating data.,"I like to review local coffee, go on walks, make matcha lattes, and work out/practice yoga.",I expect to learn data science and communicate my findings effectively.
I want to learn basic coding skills. ,I like to go on runs and spend time with my friends,Some expectations are clear defined objectives and clear deadlines. 
